,citing,cited_id
2552,25,9812
2555,25,10084
2556,25,10182
2558,25,10108
2559,25,10466
2562,25,10162
2563,25,10161
2564,25,10519
2567,25,10665
2568,25,10659
2569,25,10672
2571,25,10935
2572,25,10958
2573,25,10976
2574,25,11010
2575,25,11184
2576,25,11261
2577,25,11260
2578,25,11383
2579,25,11384
2584,26,619
2585,26,1149
2586,26,1150
2588,26,704
2592,26,1527
2593,26,1533
2595,26,2026
2597,26,2162
2598,26,2160
2599,26,1788
2600,26,11573
2601,26,2765
2602,26,2867
2603,26,2854
2604,26,2862
2605,26,2589
2606,26,2603
2607,26,3190
2608,26,3191
2609,26,3159
2610,26,3347
2611,26,3470
2612,26,3544
2613,26,3689
2614,26,3690
2615,26,3688
2616,26,3987
2619,26,4363
2622,26,6191
2623,26,6094
2624,26,6126
2626,26,6177
2627,26,7024
2628,26,7103
2629,26,7179
2630,26,6881
2631,26,7235
2632,26,7267
2634,26,7783
2635,26,7647
2640,26,7924
2641,26,7923
2642,26,7887
2643,26,7966
2644,26,7884
2645,26,7969
2646,26,8248
2648,26,8041
2650,26,8429
2651,26,8803
2652,26,8869
2653,26,9254
2654,26,9307
2658,26,10438
2659,26,10158
2662,26,10172
2664,26,10728
2665,26,10758
2666,26,11026
2667,26,11030
2668,26,11023
2670,26,11089
2671,26,11150
2672,26,11317
2674,26,11484
2675,27,95
2677,27,249
2679,27,417
2680,27,416
2681,27,558
2683,27,928
2684,27,689
2685,27,1378
2686,27,1680
2687,27,1959
2690,27,2564
2691,27,2798
2694,27,3379
2695,27,3588
2700,27,4481
2702,27,4749
2703,27,4763
2705,27,4453
2707,27,5260
2710,27,5595
2711,27,5622
2713,27,6098
2715,27,6133
2716,27,6463
2719,27,7036
2720,27,7030
2721,27,7048
2722,27,7119
2723,27,7731
2726,27,7879
2727,27,7956
2729,27,8228
2730,27,8369
2732,27,8470
2733,27,8523
2734,27,8530
2735,27,8693
2737,27,9390
2740,27,9910
2741,27,10665
2742,27,11615
2743,27,10857
2744,27,10855
2745,27,10854
2747,27,10955
2748,27,11073
2750,27,11293
2752,27,11457
2753,27,11507
2754,28,131
2755,28,28
2756,28,356
2759,28,527
2760,28,1056
2763,28,1974
2764,28,1992
2769,28,2441
2771,28,2922
2772,28,2992
2776,28,3301
2777,28,3792
2780,28,4110
2781,28,4550
2782,28,4650
